sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
o	#	#+	x	x	o	o	74905	2020_06_17	36	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Aber Sie waren es mit Klubobmann Kickl, die am 13. März dieses Jahres den völligen Lockdown für Österreich eingefordert haben.
o	x	x	x	x	o	o	75380	2020_06_17	36	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Fangen wir dort an, wo alles angefangen hat – beim Coronalockdown!
o	#	+#+	x	x	+	+	75385	2020_06_17	36	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Den Lockdown haben wir also nicht aus Spaß und Jux und Tollerei gemacht – übrigens, ihr habt ihn ja selber gefordert, das habt ihr heute eh schon öfters gehört –, sondern wir haben ihn deswegen gemacht, weil es einfach notwendig war.
-	##	##+	x	x	o	-	75475	2020_06_17	36	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	Ich möchte jetzt einiges zurechtrücken, was hier seitens der ÖVP wieder einmal verzapft wurde – zu Beginn der Debatte von Klubobmann Wöginger, aber auch Kollege Pöttinger hat das angeführt und hat den angeblichen Zickzackkurs der FPÖ kritisiert, denn wir wären ja die Ersten gewesen, die den totalen Lockdown Österreichs gefordert hätten.
-	x	x	-	-	o	-	75533	2020_06_17	36	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	Bedenkt man, dass der Umsatzrückgang allein für Österreichs Gastronomie während des Corona-Lockdowns täglich ca 60 Millionen Euro betrug und laut Experten auch nicht wieder aufholbar ist, stellt sich die Frage, wie nun 2.000 Euro, die die Regierung beisteuern möchte, bei gleichzeitig hohen Lehrlingskosten und eingebrochenem Umsatz tatsächlich helfen sollen.
-	x	x	-	x	o	-	75825	2020_06_17	36	SPÖ	Abgeordneter Dietmar Keck (SPÖ)	False	Die Ausgangslage Der Lockdown hat eine soziale und wirtschaftliche Krise ausgelöst, die beispielhaft ist in der Zweiten Republik.
-	x	x	-	x	o	-	77704	2020_06_17	36	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Zahlen aus China und Italien – diese Länder mussten sich ja schon früher zu einem Lockdown entschließen – ließen befürchten, dass sich auch bei uns in Österreich die Zahl der Über­griffe auf Frauen im häuslichen Bereich, also im Privatbereich, erhöhen würde.
-	x	x	-	x	o	-	77705	2020_06_17	36	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Aufgrund des Stresses, unter dem viele Paare und Familien durch den Lockdown, durch Kurzarbeit oder Arbeitslosigkeit, Homeschooling und so weiter standen, war ja auch zu erwarten, dass es vermehrt zu Gewalteskalationen kommen könnte.
+	x	x	x	x	o	o	77713	2020_06_17	36	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Der Lockdown ist mittlerweile beendet und wir kehren auch Schritt für Schritt zur Nor­malität zurück.
+	x	x	x	+	o	+	78001	2020_06_17	36	ÖVP	Abgeordneter Norbert Sieber (ÖVP)	True	Ich bin daher von der Notwendigkeit überzeugt und auch dankbar dafür, dass bereits während der Coronakrise, während des Lockdowns 2 Millionen Euro für eine Sensibilisierungs­kampagne bereitgestellt wurden.
-	x	x	x	-	o	-	78021	2020_06_17	36	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Auf der einen Seite sagen Sie: Der Lockdown ist beendet , die Normalität kehrt zurück!, gleichzeitig wird aber die Teilnahme an der europäischen Zeitverwendungsstudie abgelehnt, denn – hey!
-	x	x	-	x	o	-	78068	2020_06_17	36	ohne Klubzugehörigkeit	Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit)	False	Um die Lasten der Coronakrise so gut wie möglich bewältigbar zu machen, müssen wir uns langsam, aber sicher neben den wirtschaftlichen Konsequenzen auch Gedanken über die psychologischen Konsequenzen des Lockdowns machen, Konsequenzen, welche vor allem die Zukunft und das Leben der Frauen in diesem Land besonders stark be­treffen werden.
+	x	x	+	+	+	+	78695	2020_06_18	38	ÖVP	Abgeordnete Gabriela Schwarz (ÖVP)	True	Da gab es die Länder, die so wie Österreich sehr konsequent und rasch mit einem Shutdown, einem Lockdown reagiert haben, dadurch unzählige Menschenleben gerettet haben – das steht definitiv fest –, und die anderen, die gesagt haben: Wir lassen es, wie es ist, und lassen die Wirtschaft weiterlaufen!
-	x	x	x	-	o	-	78776	2020_06_18	38	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	März vor dem Lockdown hat die von Ihnen geführte Bun­desregierung und die Mehrheitsfraktion von ÖVP und Grünen versucht, einen seit dem Epidemiegesetz 1950 bestehenden gesetzlichen Anspruch auf vollen Schadenersatz und Verdienstentgang abzuschaffen.
o	x	x	x	-	o	-	78778	2020_06_18	38	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Meine Frage ist: Warum haben Sie nicht wie die Nachbarländer Schweiz und Deutsch­land einen Weg gewählt, bei dem wie in der Schweiz innerhalb von vier Tagen nach dem Lockdown alle ihr Geld gehabt haben, weil es gegen nachfolgende Überprüfung mit der Steuer ausbezahlt wurde, oder wie in Deutschland, wo das durch die Finanzverwaltung erfolgt ist und der Effekt der sofortigen Zahlung der war, dass in Deutschland die Ar­beitslosigkeit in einem viel geringeren Ausmaß gestiegen ist als in Österreich?
o	x	x	x	x	o	o	80457	2020_06_18	38	NEOS	Abgeordneter Dr. Johannes Margreiter (NEOS)	False	Auch die Bevölkerung hat am Anfang alles akzeptiert, was im Zuge dieses Lockdowns angeordnet worden ist.
o	x	x	+	+	+	+	81858	2020_06_18	38	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	– Fangen wir einmal bei den Dingen, die halbwegs gelaufen sind, an: Halbwegs gelaufen ist, dass wir, als die Pan­demie ausgebrochen ist – so wie viele andere Länder in der Europäischen Union –, nach ein paar Wochen Tiefschlaf rechtzeitig einen Lockdown zusammengebracht haben, so­dass die Kapazitäten unseres Gesundheitssystems nicht überschritten worden sind.
o	x	x	x	+	+	+	82090	2020_06_18	38	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Auf der einen Seite das Angebot : Ich glaube, Österreich ist Gott sei Dank sehr schnell in den Lockdown gegangen, sehr schnell aus dem Lockdown herausgekommen  und tut jetzt alles, um das Angebot wiederherzustellen.
+	x	x	x	x	o	o	82569	2020_06_18	38	SPÖ	Abgeordneter Maximilian Lercher (SPÖ)	False	Ich kann mich gut daran erinnern, wie wir im Wirtschaftsausschuss zusammengekom­men sind, als der Lockdown passiert ist, und alle Oppositionsparteien – NEOS, FPÖ, SPÖ – mit der Einstellung hineingegangen sind: Wir wollen etwas Gutes für diesen Staat leisten, wir wollen etwas Gutes für die Bürgerinnen und Bürger tun!
-	x	x	x	x	o	o	84327	2020_06_30	40	ÖVP	Abgeordneter Karlheinz Kopf (ÖVP)	True	Das war nach dem Lockdown natürlich eine sehr dramatische Maßnahme.
-	x	x	x	x	o	o	84420	2020_06_30	40	SPÖ	Abgeordneter Dr. Christoph Matznetter (SPÖ)	False	Damit wäre auch Amazon, der ja der Hauptprofiteur von die­sem Lockdown war, draußen, denn die 50 000 Euro spielen eine geringe Rolle.
-	x	x	+	x	+	+	84741	2020_06_30	40	Grüne	Abgeordnete Barbara Neßler (Grüne)	True	Wir erleben auch eine schwe­re Rezession, im Übrigen nicht wegen des Lockdowns, sondern wegen der weltweiten Pandemie.
+	x	x	+	x	+	+	84912	2020_06_30	40	Grüne	Abgeordnete Mag. Eva Blimlinger (Grüne)	True	Es ist immer eine Schwierigkeit, das abzuschätzen und zu schau­en, ob das nur für Amazon gut ist, aber nein, es ist auch für die kleineren österreichischen Unternehmen gut, weil sie mittlerweile im Onlinehandel – insbesondere was die Bücher im Bereich E-Books, aber auch im Bereich Onlinehandel betrifft – bestens aufgestellt sind und während des Lockdowns wirklich eine hohe Expertise und Varianten entwickelt haben.
o	x	x	x	x	o	o	86539	2020_07_07	43	ÖVP	Bundesministerin für Landwirtschaft, Regionen und Tourismus Elisabeth Köstinger	True	Wir ha­ben nicht nur in den Zeiten des Lockdowns und der Coronakrise gesehen, wie wichtig die Produktion und die flächendeckende Versorgung mit Lebensmitteln sind.
-	x	x	x	-	o	-	86641	2020_07_07	43	SPÖ	Abgeordnete Mag. Selma Yildirim (SPÖ)	False	Seit dem Lockdown, seit einigen Monaten beobachten wir, dass bei den Hilfspaketen, beginnend mit kleinen Hilfspaketen, die Türkisen beson­ders straucheln.
+	x	x	+	x	+	+	87722	2020_07_07	43	Grüne	Abgeordneter Süleyman Zorba (Grüne)	True	Ob in der Arbeitswelt oder im Privatleben, es war uns auch während des Lockdowns großteils möglich, miteinander Kontakt zu halten und in man­cherlei Hinsicht Arbeitsprozesse zu vereinfachen und effizienter zu gestalten.
-	x	x	-	x	o	-	87970	2020_07_07	43	SPÖ	Abgeordnete Katharina Kucharowits (SPÖ)	False	Geschätzte Kollegin­nen und Kollegen, wir müssen aber darüber reden, was die Coronakrise, was der Lock­down mit unserer Gesellschaft macht, was das für unsere Gesellschaft bedeutet.
-	x	x	-	x	-	-	88662	2020_07_07	43	ÖVP	Abgeordneter Dr. Josef Smolle (ÖVP)	True	Nun hat sich anlässlich der Covid-Krise herausgestellt, dass manche, die zum Beispiel projektbezogen eine solche befristete Stelle haben, ihre Projektaufgaben durch den Coronalockdown nicht zeitge­recht erledigen konnten.
-	x	x	-	x	o	-	90739	2020_07_08	45	SPÖ	Abgeordneter Josef Muchitsch (SPÖ)	False	„Sozial schwächere Gruppen, auch Frauen“ – und Arbeitslose – „seien am stärksten getroffen.“ Heute schreiben wir den 8. Juli, 117 Tage sind seit dem Lockdown vergangen, und wir behandeln jetzt eine Regierungsvorlage hinsichtlich einer Einmalzahlung beim Bezug von Arbeitslosengeld und Familienbeihilfe.
o	x	+	x	x	+	+	90811	2020_07_08	45	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Der Lockdown war notwendig.
+	x	x	x	x	+	+	90969	2020_07_08	45	ÖVP	Abgeordneter Norbert Sieber (ÖVP)	True	Ich möchte ihnen Danke dafür sagen, dass sie in der Zeit des Lockdowns unsere Gesellschaft durch die Krise getragen haben und die Stütze der Gesellschaft in der Zeit des Lockdowns waren.
+	x	x	x	+	o	+	91150	2020_07_08	45	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	Weil wir beschlos­sen haben, diese Unterstützung ab 16.3., mit dem Lockdown, zu gewähren, ist es tech­nisch möglich, das jetzt mit der Juliauszahlung mitzuüberweisen, sodass die Menschen sichergehen können und eine Planungssicherheit haben, wann sie dieses Geld bekommen.
-	x	x	-	-	-	-	91355	2020_07_08	45	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Sie sind noch im April, Sie versuchen noch, die Probleme, die im März-Lockdown entstanden sind, zu lösen.
-	x	x	-	-	-	-	93305	2020_07_08	45	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Bedenkt man, dass der Umsatzrückgang allein für Österreichs Gastronomie während des Corona-Lockdowns täglich ca 60 Millionen Euro betrug und laut Experten auch nicht wieder aufholbar ist, stellt sich die Frage, wie nun 2.000 Euro, die die Regierung beisteuern möchte, bei gleichzeitig hohen Lehrlingskosten und eingebrochenem Umsatz tatsächlich helfen sollen.
-	x	x	x	-	-	-	93721	2020_07_08	45	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Es ist ja auch nicht so, dass Unternehmen Planbarkeit haben, denn keiner weiß, ob nicht im Herbst der nächste Lockdown kommt.
o	x	x	x	+	o	+	95360	2020_07_08	45	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Diesen kann man ja seit 1. Juli beantragen, auch rückwirkend bis zum Lockdown, bis zum 16. März.
-	x	x	-	x	o	-	96964	2020_07_09	47	ÖVP	Abgeordneter Norbert Sieber (ÖVP)	True	Auch wenn wir viele Maßnahmen gesetzt haben, um die Ge­sellschaft, um unsere Familien entsprechend zu unterstützen, war in diesem Lockdown dennoch eine Steigerung der Gewaltbereitschaft spürbar.
-	x	x	-	x	o	-	97438	2020_07_09	47	ÖVP	Abgeordnete Mag. Johanna Jachs (ÖVP)	True	Während des Lockdowns und seit dem Lock­down sind leider die Fälle gestiegen und auch die Zahl der Annäherungsverbote ist ge­stiegen.
-	x	x	x	-	o	-	97819	2020_07_09	47	SPÖ	Abgeordneter Philip Kucher (SPÖ)	False	Die Frechheit ist in Wahrheit aber, dass man mit den Heldinnen und Helden des Lockdowns, jenen Leuten, die in der schwierigen Zeit für uns da waren – die Ärztinnen und Ärzte, die Menschen in den Gesundheitsberufen, aber auch unsere Polizistinnen und Polizisten –, nicht ein Wort geredet und gefragt hat: Wollt ihr das, die Nachverfolgung von kranken Menschen, überhaupt machen?
o	x	x	x	+	+	+	98229	2020_07_09	47	ÖVP	Abgeordneter Ing. Manfred Hofinger (ÖVP)	True	Dass das Krisenmanagement in Österreich funktioniert und die Maßnahmen zum richtigen Zeitpunkt gesetzt wurden, beweist ein Blick über unsere Grenzen: nach Schweden, das immer wieder von jenen, die den Lockdown eigentlich nicht wollten, ge­nannt wird und wo es eine Mehrzahl von Todesfällen im Vergleich zu den anderen eu­ropäischen Ländern gibt; neben Nord- und Südamerika – heute in den Zeitungen: in Nordamerika sind es über 3 Millionen Infizierte – oder auch neben Israel, wo sich sehr viele Schüler in der Schule und bei den Feiern angesteckt haben.
+	x	x	+	x	o	+	100250	2020_07_09	47	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Im Bereich der Umwelteinflüsse, vor allem im Bereich der Luftverschmutzung, gab es zuletzt eine heftige Diskussion, weil die Luftverschmutzung durch den Lockdown ja teil­weise zurückgegangen ist.
+	x	x	x	x	o	o	101149	2020_07_09	47	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Bevor ich auf den Bericht eingehe, möchte ich aber noch die Gelegenheit nützen, auch dem ORF, um den es jetzt im letzten Bericht geht, für die hervorragende Arbeit während der Zeit des Lockdowns und danach zu danken.
-	x	x	-	x	-	-	102152	2020_09_14	49	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Sie ist aber eine kreative Künstlerin, die sich im Lockdown – zu dem Zeitpunkt, zu dem die Künstler ja auch im Regen stehen gelassen worden sind, denn da hat es auch nichts gegeben, man hat sie ja auch auf der Straße stehen lassen – darüber Gedanken gemacht hat.
o	x	x	x	x	o	o	104491	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Produzieren wir deshalb einen Lockdown?
-	x	x	x	-	o	-	104498	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Man könnte hergehen und sagen: Ja, selbstverständlich ist es so, dass die von Ihnen ver­ordnete Ganzjahresmaskerade – der einzige Maskenball, der das ganze Jahr noch statt­findet  – natürlich auch dazu beiträgt, diese Grippeepidemie einzudämmen; dass ein Lockdown natürlich diese Zahl von 1 000, 4 000 Toten auch reduzieren würde.
-	x	x	-	x	-	-	104582	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl	False	Kommt ein neuer Lockdown, dann könnte sogar die Zahl von zwei Millionen Betroffenen erreicht werden.
-	x	x	x	-	-	-	104586	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl	False	Weitreichende Verordnungsermächtigungen ermöglichen es der gesamten österreichi­schen Bundesregierung und einzelnen Ressortministern, einen neuen Lockdown unmit­telbar umzusetzen, in die Grund- und Freiheitsrechte der Bürger, Gewerbetreibenden, Freiberufler und Vereinsmitglieder „polizeistaatlich“ einzugreifen und Gesetze nach Be­lieben per Verordnung zu verlängern.
-	#	#+	x	x	o	o	104603	2020_09_23	51	Grüne	Abgeordnete Sigrid Maurer, BA (Grüne)	True	Herr Kickl, Sie haben im März, ein paar Tage bevor die eigentlichen Ausgangsbeschränkungen gekommen sind, selber gefordert, dass es der radikale Lockdown sein muss.
o	x	-	-	x	-	-	104793	2020_09_23	51	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	Man wusste schon Ende März, dass die Infektionsrate von selber abgeflacht ist – allein durch die Disziplin der österreichischen Bevölkerung – und es in Österreich gar keinen Lockdown gebraucht hätte, es vor allem diese lange wirkenden Maßnahmen gar nicht gebraucht hätte.
-	x	-	-	x	-	-	104902	2020_09_23	51	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Meine sehr verehrten Damen und Herren, bei allen parteipolitischen Unterschieden könnten wir doch einen Grundkonsens insofern schaffen, dass wir sagen: Ja, das erste Ziel von uns allen – bei allen Schwierigkeiten, die wir sonst haben, Diskursen, die wir führen – muss sein, dass es keinen zweiten Lockdown in Österreich mehr braucht, denn der wäre wirtschaftlich fatal, der wäre gesundheitspolitisch verheerend und der würde uns auch in der sozialen Lage in Österreich große, große Schwierigkeiten bereiten.
-	#	#+#-	x	x	o	o	104938	2020_09_23	51	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Meine sehr verehrten Damen und Herren, nur kurz zwei Sätze zu den kritischen Stim­men, die ich heute noch gehört habe: Das eine: Herr Kickl, Sie waren ja vor wenigen Monaten noch der Vorreiter in Sachen Lockdown, mit einem Höllentempo, haben gefor­dert, gefordert, gefordert , und heute sind Sie der Chefcoronaleugner der Republik.
-	x	x	x	-	-	-	104981	2020_09_23	51	NEOS	Abgeordneter Dr. Nikolaus Scherak, MA (NEOS)	False	Der zweite Wahnsinn aus meiner Sicht ist, dass Sie mit diesen Betretungsverboten durch die Hintertür wiederum in diesen einzelnen Gebieten einen umfassenden Lockdown ma­chen können.
-	x	x	x	+	+	+	105031	2020_09_23	51	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Wir haben eine Kompe­tenzverteilung zwischen Bund, Ländern und Bezirken gemacht; die Coronakommission wird verankert, damit verbunden eine evidenzbasierte Politik – das ist etwas, was man­che hier herinnen offensichtlich nicht ganz verstehen –; ein Lockdown ist nur noch zehn Tage lang möglich; weitreichende Maßnahmen wie ein Lockdown sind nur im Einverneh­men mit dem Hauptausschuss möglich; Maßnahmen sind nur dann möglich, wenn gelin­dere Mittel davor nicht ausgereicht haben; weiters, wie schon gesagt: die fünf Gründe, warum eben die Einhaltung einer Ausgangsbeschränkung nicht möglich ist – als Min­deststandards, bitte schön; in der Diskussion wird ja immer ganz gerne vergessen oder fallen gelassen, dass das ja die Mindeststandards sind.
-	#	+#-	x	x	+	+	105115	2020_09_23	51	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Als wir im Februar den Lockdown gefordert haben, als wir gefordert haben, es müsse etwas passieren, hat sich die Regierung zurückgelehnt, hat gesagt: Es ist alles gut!
-	x	x	x	x	o	o	105117	2020_09_23	51	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Dann ist der Lockdown ausgerufen worden, und was ist passiert?
-	x	x	x	-	-	-	105272	2020_09_23	51	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Für all das, was er mit Verordnungen im Frühjahr schon durchgesetzt hat – bis zum Lockdown, den er verhängt hat, aber nicht hätte verhängen dürfen –, verschafft er sich jetzt die gesetzliche Grundlage.
-	x	x	-	x	-	-	105276	2020_09_23	51	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	– Da sind Ausgangsverbote bis zum kompletten Lockdown drinnen, da sind Betretungsverbote für den öffentlichen Raum drinnen – für einzelne, bestimmte Plätze, aber auch für den gesamten öffentlichen Raum.
o	x	-	x	x	-	-	105499	2020_09_23	51	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Sehr geehrte Damen und Herren, ich sage ganz klar: Wir wollen den Lockdown mit allen Mitteln verhindern, mit allen Mitteln, die uns zur Verfügung stehen.
-	#	#+#-	x	x	o	o	105636	2020_09_23	51	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Vom Lockdownforderer bis zum Virusleugner – aber jetzt weg von der Literatur, Herr Kickl, das ist es nicht wert.
o	x	-	x	x	-	-	107151	2020_09_23	51	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Wir wollen einen zwei­ten Lockdown verhindern, und wir wollen, dass die Schulen offen bleiben, aber die Eltern können, wenn die Zahl der grippalen Infekte wieder zunimmt, sehr schnell in die Situation kommen, dass sie Zeit für die Kinder zu Hause brauchen, daher diese gesetzliche Regelung bis Ende Februar: eine gute Lösung im Sinne unserer Familien mit Kindern.
o	x	x	x	x	o	o	107229	2020_09_23	51	NEOS	Abgeordnete Mag. Martina Künsberg Sarre (NEOS)	False	Ich habe zu Beginn des Lockdowns hier im Hohen Haus gesagt, dass sich unsere Kinder darauf verlassen, dass wir Erwachsenen gute Entschei­dungen treffen.
o	x	x	x	x	o	o	107340	2020_09_23	51	SPÖ	Abgeordneter Ing. Markus Vogl (SPÖ)	False	Ich glaube, es wäre fair und richtig, dass man da für den Betrachtungszeitraum den 15. März ansetzt; da ist der Lockdown erfolgt.
o	x	x	x	-	o	-	107397	2020_09_23	51	SPÖ	Abgeordneter Ing. Markus Vogl (SPÖ)	False	Auch die Unpfändbarkeit sowie die Rückwirkung bis 15. März, an dem die Regierung den Lock Down verhängt hat, muss geregelt werden.
o	x	x	x	x	o	o	107636	2020_09_23	51	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	In der Coronaausnahmesituation während des Lockdowns hat es in den Familien sehr gut funktioniert, weil die Eltern ganz selbstverständlich eingesprungen sind und die dop­pelte bis dreifache Belastung auf sich genommen haben.
-	x	x	-	x	o	-	107638	2020_09_23	51	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	Das Leben mit Kindern ist ja wunderschön, aber dennoch sind viele Eltern in der Zeit während des Lockdowns bis an die Grenzen des Machbaren gegangen.
-	x	x	x	-	o	-	107643	2020_09_23	51	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	Das ist einfach nicht wahr, denn Eltern, deren Kinder im September 18 Jahre alt geworden sind, erhalten den Zuschuss nicht, Frau Bundesminister, obwohl sie wäh­rend der Zeit des Lockdowns die Familienbeihilfe bezogen haben.
-	x	x	-	x	-	-	107707	2020_09_23	51	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	Zuerst kamen der Lockdown und die Maßnahmen der Regierung, jetzt zittern diese Menschen um ihren Arbeitsplatz.
-	x	x	-	x	o	-	107739	2020_09_23	51	SPÖ	Abgeordnete Petra Wimmer (SPÖ)	False	Für Kinder, deren Eltern getrennt leben, war insbesondere die Zeit des Lockdowns eine große Herausforderung.
-	x	x	-	x	-	-	107937	2020_09_23	51	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Zusätzlich darf nicht vergessen werden, dass während der Lockdown-Phase Home Schooling, keine Treffen mit Freundinnen und Freunden, keine sozialen Kontakte außerhalb des Familienverbandes - eine enorme Belastung für Kinder und Jugendliche darstellte.
-	x	x	-	x	-	-	107941	2020_09_23	51	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Auch der Kinder- und Jugendnotruf "Rat auf Draht", der telefonisch rund um die Uhr sieben Tage die Woche erreichbar ist und die Beratung anonym sowie kostenlos durch­führt, berichtete besorgniserregende Entwicklungen seit Beginn der Corona Pandemie bzw. der Lockdown-Phase.
o	x	x	x	x	o	o	107974	2020_09_23	51	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	•             Erhebung zum konkreten Wissensstand von Kindern und Jugendlichen, um ge­zielte Angebote setzen zu können und zu wissen, wie der Corona-Lockdown sich im Detail ausgewirkt hat.
+	x	x	+	x	o	+	108009	2020_09_23	51	ÖVP	Abgeordnete Dr. Gudrun Kugler (ÖVP)	True	Die Familien haben die Schulschließungen aufgefangen, und – ich erinnere daran, wir haben das schon einmal hier diskutiert – vor Kurzem, am 21. September, hat Frauenmi­nisterin Susanne Raab eine Pressekonferenz abgehalten und gesagt, die häusliche Ge­walt ist während des Lockdowns nicht signifikant angestiegen.
-	x	x	x	-	o	-	109242	2020_09_23	51	NEOS	Abgeordneter Yannick Shetty (NEOS)	False	Hier wird und wurde schon beim ersten Lockdown oder in der ersten Phase der Krise absolut willkürlich und sinnbefreit agiert.
-	x	-	-	-	-	-	110615	2020_10_07	53	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Diese Schulden sind nicht alle deswegen entstanden, weil das Coronavirus über uns hereingebrochen ist, diese Schulden sind deswegen entstanden, weil es einen Lockdown gegeben hat, der maßgeblich von der Bundesregierung initiiert worden ist, und dies teilweise auch auf­grund von Informationen, die wir jetzt im Nachhinein als nicht mehr richtig empfinden.
o	x	x	o	x	o	o	111157	2020_10_07	53	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Der Live-Indikator der Österreichischen Nationalbank zeigt zwar momentan eine Erholung im Vergleich zum Lockdown an , doch zuletzt hat die Dynamik wieder leicht abgenommen.
-	x	x	-	x	o	-	111162	2020_10_07	53	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Im Lockdown waren 189.000 Menschen weniger beschäftigt als noch im Vorjahr.
-	x	x	-	x	-	-	111200	2020_10_07	53	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	In vielen Fällen – vor allem für jene Unternehmen, die vom Lockdown im März massiv getroffen wurden - endet der FKZ II auf diese Weise spätestens Mitte Dezember, also noch vor den Spitzen­monaten für den Wintertourismus.
-	x	-	x	x	-	-	111771	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Das große Damoklesschwert, das über den Unternehmen, den Unternehmerinnen und Unternehmern in diesem Land hängt, ist die Möglichkeit eines zweiten Lockdowns.
o	x	x	x	x	o	o	111773	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Was würde es wirklich bedeuten, wenn ein zweiter Lockdown kommt?
o	x	-	x	x	-	-	111782	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Ich fordere in diesem Antrag von der Bun­desregierung, dass sie einen zweiten Lockdown ausschließt.
-	x	-	-	x	-	-	111783	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Sie wissen, welche fatalen Folgen dieser Lockdown für die Wirtschaft und vor allem für die gesamte österreichische Bevölkerung haben würde.
o	x	x	x	x	-	-	111784	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Deshalb bringe ich folgenden Entschließungsantrag ein: der Abgeordneten Erwin Angerer, Kolleginnen und Kollegen betreffend „Zweiten Lock­down ausschließen – Planungssicherheit für die Wirtschaft herstellen“ Der Nationalrat wolle beschließen: „Die Bundesregierung wird aufgefordert, umgehend und öffentlich einen zweiten Lock­down definitiv auszuschließen, um so die dringend erforderliche Planungssicherheit für die Unternehmen sicherzustellen und damit positive Signale für die Betriebe und ihrer Beschäftigten auszusenden.“  Sie schreiben zu Ihrem Budget, Herr Minister Blümel: „wir schaffen [...] neue Perspek­tiven“.
