sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	x	-	o	-	86641	2020_07_07	43	SPÖ	Abgeordnete Mag. Selma Yildirim (SPÖ)	False	Lockdown Monaten beobachten Hilfspaketen beginnend Hilfspaketen Türkisen beson­ders straucheln 
+	x	x	+	x	+	+	87722	2020_07_07	43	Grüne	Abgeordneter Süleyman Zorba (Grüne)	True	Arbeitswelt Privatleben Lockdowns großteils miteinander Kontakt halten man­cherlei Hinsicht Arbeitsprozesse vereinfachen effizienter gestalten 
-	x	x	-	x	o	-	87970	2020_07_07	43	SPÖ	Abgeordnete Katharina Kucharowits (SPÖ)	False	Geschätzte Kollegin­nen Kollegen reden Coronakrise Lock­down Gesellschaft Gesellschaft bedeutet 
-	x	x	-	x	-	-	88662	2020_07_07	43	ÖVP	Abgeordneter Dr. Josef Smolle (ÖVP)	True	anlässlich Covid-Krise herausgestellt projektbezogen befristete Stelle Projektaufgaben Coronalockdown zeitge­recht erledigen 
-	x	x	-	x	o	-	90739	2020_07_08	45	SPÖ	Abgeordneter Josef Muchitsch (SPÖ)	False	Sozial schwächere Gruppen Frauen   Arbeitslose   stärksten getroffen schreiben 8.   Juli 117   Lockdown vergangen behandeln Regierungsvorlage hinsichtlich Einmalzahlung Bezug Arbeitslosengeld Familienbeihilfe 
o	x	+	x	x	+	+	90811	2020_07_08	45	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Lockdown notwendig 
+	x	x	x	x	+	+	90969	2020_07_08	45	ÖVP	Abgeordneter Norbert Sieber (ÖVP)	True	Danke sagen Lockdowns Gesellschaft Krise getragen Stütze Gesellschaft Lockdowns 
+	x	x	x	+	o	+	91150	2020_07_08	45	ÖVP	Bundesministerin für Arbeit, Familie und Jugend Mag. (FH) Christine Aschbacher	True	beschlos­sen Unterstützung 16.3. Lockdown gewähren tech­nisch Juliauszahlung mitzuüberweisen sodass Menschen sichergehen Planungssicherheit Geld bekommen 
-	x	x	-	-	-	-	91355	2020_07_08	45	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	April versuchen Probleme März-Lockdown entstanden lösen 
-	x	x	-	-	-	-	93305	2020_07_08	45	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Bedenkt Umsatzrückgang Österreichs Gastronomie Corona-Lockdowns täglich ca 60 Millionen Euro betrug laut Experten aufholbar stellt Frage 2.000 Euro Regierung beisteuern gleichzeitig hohen Lehrlingskosten eingebrochenem Umsatz tatsächlich helfen 
-	x	x	x	-	-	-	93721	2020_07_08	45	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Unternehmen Planbarkeit weiß Herbst nächste Lockdown 
o	x	x	x	+	o	+	95360	2020_07_08	45	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	1.   Juli beantragen rückwirkend Lockdown 16.   März 
-	x	x	-	x	o	-	96964	2020_07_09	47	ÖVP	Abgeordneter Norbert Sieber (ÖVP)	True	Maßnahmen gesetzt Ge­sellschaft Familien entsprechend unterstützen Lockdown dennoch Steigerung Gewaltbereitschaft spürbar 
-	x	x	-	x	o	-	97438	2020_07_09	47	ÖVP	Abgeordnete Mag. Johanna Jachs (ÖVP)	True	Lockdowns Lock­down Fälle gestiegen Zahl Annäherungsverbote ge­stiegen 
-	x	x	x	-	o	-	97819	2020_07_09	47	SPÖ	Abgeordneter Philip Kucher (SPÖ)	False	Frechheit Wahrheit Heldinnen Helden Lockdowns Leuten schwierigen   Ärztinnen Ärzte Menschen Gesundheitsberufen Polizistinnen Polizisten   Wort geredet gefragt Nachverfolgung kranken Menschen 
o	x	x	x	+	+	+	98229	2020_07_09	47	ÖVP	Abgeordneter Ing. Manfred Hofinger (ÖVP)	True	Krisenmanagement Österreich funktioniert Maßnahmen richtigen Zeitpunkt gesetzt beweist Blick Grenzen Schweden Lockdown eigentlich ge­nannt Mehrzahl Todesfällen Vergleich eu­ropäischen Ländern Nord- Südamerika   Zeitungen Nordamerika 3   Millionen Infizierte   Israel Schüler Schule Feiern angesteckt 
+	x	x	+	x	o	+	100250	2020_07_09	47	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Bereich Umwelteinflüsse Bereich Luftverschmutzung zuletzt heftige Diskussion Luftverschmutzung Lockdown teil­weise zurückgegangen 
+	x	x	x	x	o	o	101149	2020_07_09	47	SPÖ	Abgeordneter Mag. Thomas Drozda (SPÖ)	False	Bevor Bericht eingehe Gelegenheit nützen ORF letzten Bericht hervorragende Arbeit Lockdowns danken 
-	x	x	-	x	-	-	102152	2020_09_14	49	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	kreative Künstlerin Lockdown   Zeitpunkt Künstler Regen stehen gelassen gegeben Straße stehen lassen   Gedanken 
o	x	x	x	x	o	o	104491	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Produzieren Lockdown 
-	x	x	x	-	o	-	104498	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	hergehen sagen selbstverständlich ver­ordnete Ganzjahresmaskerade   einzige Maskenball statt­findet   beiträgt Grippeepidemie einzudämmen Lockdown Zahl 1   000 4   000   Toten reduzieren 
-	x	x	-	x	-	-	104582	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl	False	neuer Lockdown sogar Zahl Millionen Betroffenen erreicht 
-	x	x	x	-	-	-	104586	2020_09_23	51	FPÖ	Abgeordneter Herbert Kickl	False	Weitreichende Verordnungsermächtigungen ermöglichen gesamten österreichi­schen Bundesregierung einzelnen Ressortministern Lockdown unmit­telbar umzusetzen Grund- Freiheitsrechte Bürger Gewerbetreibenden Freiberufler Vereinsmitglieder polizeistaatlich einzugreifen Gesetze Be­lieben per Verordnung verlängern 
-	#	#+	x	x	o	o	104603	2020_09_23	51	Grüne	Abgeordnete Sigrid Maurer, BA (Grüne)	True	Herr Kickl März paar bevor eigentlichen Ausgangsbeschränkungen gekommen selber gefordert radikale Lockdown 
o	x	-	-	x	-	-	104793	2020_09_23	51	FPÖ	Abgeordneter Mag. Gerhard Kaniak (FPÖ)	False	wusste März Infektionsrate selber abgeflacht   Disziplin österreichischen Bevölkerung   Österreich Lockdown gebraucht wirkenden Maßnahmen gebraucht 
-	x	-	-	x	-	-	104902	2020_09_23	51	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	verehrten Damen Herren parteipolitischen Unterschieden könnten Grundkonsens insofern schaffen sagen Ziel   Schwierigkeiten Diskursen führen   Lockdown Österreich braucht wirtschaftlich fatal gesundheitspolitisch verheerend sozialen Lage Österreich Schwierigkeiten bereiten 
-	#	#+#-	x	x	o	o	104938	2020_09_23	51	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	verehrten Damen Herren Sätze kritischen Stim­men gehört Herr Kickl wenigen Monaten Vorreiter Sachen Lockdown Höllentempo gefor­dert gefordert gefordert Chefcoronaleugner Republik 
-	x	x	x	-	-	-	104981	2020_09_23	51	NEOS	Abgeordneter Dr. Nikolaus Scherak, MA (NEOS)	False	Wahnsinn Sicht Betretungsverboten Hintertür wiederum einzelnen Gebieten umfassenden Lockdown ma­chen 
-	x	x	x	+	+	+	105031	2020_09_23	51	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Kompe­tenzverteilung Bund Ländern Bezirken Coronakommission verankert verbunden evidenzbasierte Politik   man­che herinnen offensichtlich verstehen   Lockdown weitreichende Maßnahmen Lockdown Einverneh­men Hauptausschuss Maßnahmen gelin­dere ausgereicht weiters Gründe Einhaltung Ausgangsbeschränkung   Min­deststandards bitte schön Diskussion gerne vergessen fallen gelassen Mindeststandards 
-	#	+#-	x	x	+	+	105115	2020_09_23	51	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Februar Lockdown gefordert gefordert müsse passieren Regierung zurückgelehnt 
-	x	x	x	x	o	o	105117	2020_09_23	51	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Lockdown ausgerufen passiert 
-	x	x	x	-	-	-	105272	2020_09_23	51	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	all Verordnungen Frühjahr durchgesetzt   Lockdown verhängt verhängen   verschafft gesetzliche Grundlage 
-	x	x	-	x	-	-	105276	2020_09_23	51	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Ausgangsverbote kompletten Lockdown drinnen Betretungsverbote öffentlichen Raum drinnen   einzelne bestimmte Plätze gesamten öffentlichen Raum 
o	x	-	x	x	-	-	105499	2020_09_23	51	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	geehrte Damen Herren sage klar Lockdown Mitteln verhindern Mitteln Verfügung stehen 
-	#	#+#-	x	x	o	o	105636	2020_09_23	51	ÖVP	Abgeordneter Franz Hörl (ÖVP)	True	Lockdownforderer Virusleugner   weg Literatur Herr Kickl wert 
o	x	-	x	x	-	-	107151	2020_09_23	51	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	zwei­ten Lockdown verhindern Schulen bleiben Eltern Zahl grippalen Infekte zunimmt schnell Situation Kinder Hause brauchen gesetzliche Regelung Februar Lösung Sinne Familien Kindern 
o	x	x	x	x	o	o	107229	2020_09_23	51	NEOS	Abgeordnete Mag. Martina Künsberg Sarre (NEOS)	False	Beginn Lockdowns Hohen Haus Kinder verlassen Erwachsenen Entschei­dungen treffen 
o	x	x	x	x	o	o	107340	2020_09_23	51	SPÖ	Abgeordneter Ing. Markus Vogl (SPÖ)	False	glaube fair Betrachtungszeitraum 15.   März ansetzt Lockdown erfolgt 
o	x	x	x	-	o	-	107397	2020_09_23	51	SPÖ	Abgeordneter Ing. Markus Vogl (SPÖ)	False	Unpfändbarkeit Rückwirkung 15. März Regierung Lock Down verhängt geregelt 
o	x	x	x	x	o	o	107636	2020_09_23	51	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	Coronaausnahmesituation Lockdowns Familien funktioniert Eltern selbstverständlich eingesprungen dop­pelte dreifache Belastung genommen 
-	x	x	-	x	o	-	107638	2020_09_23	51	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	Leben Kindern wunderschön dennoch Eltern Lockdowns Grenzen Machbaren gegangen 
-	x	x	x	-	o	-	107643	2020_09_23	51	FPÖ	Abgeordnete Edith Mühlberghuber (FPÖ)	False	einfach Eltern Kinder September 18   alt erhalten Zuschuss Frau Bundesminister obwohl wäh­rend Lockdowns Familienbeihilfe bezogen 
-	x	x	-	x	-	-	107707	2020_09_23	51	FPÖ	Abgeordnete Rosa Ecker, MBA (FPÖ)	False	kamen Lockdown Maßnahmen Regierung zittern Menschen Arbeitsplatz 
-	x	x	-	x	o	-	107739	2020_09_23	51	SPÖ	Abgeordnete Petra Wimmer (SPÖ)	False	Kinder Eltern getrennt leben insbesondere Lockdowns Herausforderung 
-	x	x	-	x	-	-	107937	2020_09_23	51	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Zusätzlich vergessen Lockdown-Phase Home Schooling Treffen Freundinnen Freunden sozialen Kontakte außerhalb Familienverbandes enorme Belastung Kinder Jugendliche darstellte 
-	x	x	-	x	-	-	107941	2020_09_23	51	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	Kinder- Jugendnotruf Rat Draht telefonisch Woche erreichbar Beratung anonym kostenlos durch­führt berichtete besorgniserregende Entwicklungen Beginn Corona Pandemie bzw. Lockdown-Phase 
o	x	x	x	x	o	o	107974	2020_09_23	51	SPÖ	Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)	False	              Erhebung konkreten Wissensstand Kindern Jugendlichen ge­zielte Angebote setzen wissen Corona-Lockdown Detail ausgewirkt 
+	x	x	+	x	o	+	108009	2020_09_23	51	ÖVP	Abgeordnete Dr. Gudrun Kugler (ÖVP)	True	Familien Schulschließungen aufgefangen   erinnere diskutiert   Kurzem 21.   September Frauenmi­nisterin Susanne Raab Pressekonferenz abgehalten häusliche Ge­walt Lockdowns signifikant angestiegen 
-	x	x	x	-	o	-	109242	2020_09_23	51	NEOS	Abgeordneter Yannick Shetty (NEOS)	False	Lockdown Phase Krise absolut willkürlich sinnbefreit agiert 
-	x	-	-	-	-	-	110615	2020_10_07	53	NEOS	Abgeordneter Michael Bernhard (NEOS)	False	Schulden entstanden Coronavirus hereingebrochen Schulden entstanden Lockdown gegeben maßgeblich Bundesregierung initiiert teilweise auf­grund Informationen Nachhinein empfinden 
o	x	x	o	x	o	o	111157	2020_10_07	53	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Live-Indikator Österreichischen Nationalbank zeigt momentan Erholung Vergleich Lockdown zuletzt Dynamik abgenommen 
-	x	x	-	x	o	-	111162	2020_10_07	53	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Lockdown 189.000 Menschen beschäftigt Vorjahr 
-	x	x	-	x	-	-	111200	2020_10_07	53	NEOS	Abgeordnete Henrike Brandstötter (NEOS)	False	Fällen Unternehmen Lockdown März massiv getroffen endet FKZ II Weise spätestens Mitte Dezember Spitzen­monaten Wintertourismus 
-	x	-	x	x	-	-	111771	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Damoklesschwert Unternehmen Unternehmerinnen Unternehmern Land hängt Möglichkeit Lockdowns 
o	x	x	x	x	o	o	111773	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	bedeuten Lockdown 
o	x	-	x	x	-	-	111782	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	fordere Antrag Bun­desregierung Lockdown ausschließt 
-	x	-	-	x	-	-	111783	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	wissen fatalen Folgen Lockdown Wirtschaft gesamte österreichische Bevölkerung 
o	x	x	x	x	-	-	111784	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	bringe folgenden Entschließungsantrag Abgeordneten Erwin   Angerer Kolleginnen Kollegen betreffend Lock­down ausschließen   Planungssicherheit Wirtschaft herstellen Nationalrat wolle beschließen Bundesregierung aufgefordert umgehend öffentlich Lock­down definitiv auszuschließen dringend erforderliche Planungssicherheit Unternehmen sicherzustellen positive Signale Betriebe Beschäftigten auszusenden   schreiben Budget Herr Minister Blümel schaffen Perspek­tiven 
o	x	x	x	x	-	-	111788	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Antrag folgenden Gesamtwortlaut Abgeordneten Erwin   Angerer weiterer Abgeordneter betreffend Lockdown ausschließen Planungssicherheit Wirtschaft her­stellen eingebracht Zuge Debatte TOP 2 Bericht Tourismusausschusses Antrag 900 Abgeordneten Karl   Schmidhofer Barbara   Neßler Kolleginnen Kollegen betreffend Bundesgesetz Bundesgesetz besondere För­derungen mittleren Unternehmen   geändert   55. 
-	x	x	-	x	o	-	111789	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Sitzung Nationalrates 14. Oktober 2020 letzten Monaten Betriebe Unternehmen Folge COVID-19 verordneten Lockdowns massiv verschulden befinden branchenabhängigen Unterschieden wirtschaftlich äu­ßerst schwierigen Lage 
-	x	x	x	-	-	-	111795	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	zusätzliche Verunsicherung weiterhin fehlende Planbarkeit heimi­schen Unternehmen Beschäftigten sorgt Wochen Regierungsseite Spiel gebrachte mögliche Lockdown 
-	#	#+	x	x	o	o	111796	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	schloss ausgerechnet Wirtschaftsministerin Schramböck Lockdown Zeitung 8. Oktober 2020 Worten Glaskugel Israel gedacht kommenwird 
-	x	x	-	x	-	-	111798	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	drastisch Auswirkungen Lockdowns Wirtschaft Öster­reich wären IHS WIFO kürzlich dargelegt Lockdown folgender Begründung argen Schlag bezeichnen neuerlicher Lockdown Herbst BIP-Raten laut Wifo heuer mi­nus 6,8 Prozent 2021 plus 4,4 Prozent 2,5 4,0 Prozentpunkte senken warnte Wirtschaftsforschungsinstitut Freitag 
-	x	-	-	x	-	-	111800	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	neuerlicher Lockdown freilich Wirtschaftsleistung Quartal Niveau Quartals herunterdrücken gesamten Prognosezeitraum Wertschöpfungsverlust 4,5 Prozent bewirken warnt Wifo APA0140 Fr 09.Okt 2020 Hintergrund dramatischen Auswirkungen Lockdowns dringend erforderlich Bundesregierung umgehend öffentlich Lockdown Österreich ausschließt 
-	x	-	-	x	-	-	111801	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Kerbe schlägt Wirtschaftskammer Präsident Mahrer Gene­ralsekretär Kopf Zusammenhang Aussendung 9. Oktober 2020 wirtschaftspolitische Vernunft Verhinderung neuerlichen Lockdowns ein­fordern österreichische Betriebe weiterhin größten Wirtschaftskrise Jahrzehnte ringen 
-	x	-	x	x	-	-	111802	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Lockdown undenkbar Umständen vermeiden 
o	x	x	x	-	-	-	111807	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Echte Planungssicherheit heimischen Unternehmen gegeben Bundesregierung Lockdown definitiv ausschließt 
o	x	-	x	x	-	-	111808	2020_10_14	55	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Zusammenhang stellen unterfertigten Abgeordneten nachste­henden Nationalrat wolle beschließen Bundesregierung aufgefordert umgehend öffentlich Lock­down definitiv auszuschließen dringend erforderliche Planungssicherheit Unternehmen sicherzustellen positive Signale Betriebe Beschäftigten auszusenden 
-	x	x	x	x	o	o	112545	2020_10_14	55	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Woche Corona-Fall Lock-down verschärft 
o	x	-	x	x	-	-	112577	2020_10_14	55	ÖVP	Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallen­berg, LL.M.	True	beste Weg eigent­lich einzige Weg Thema nachhaltig Welt schaffen Co­vid-19-Zahlen Europa Österreich nachhaltig Griff kriegen schließ­lich Raum gemeinsames Ziel nämlich Kraft Lockdown vermeiden Weg Krise finden 
-	#	#+	-	x	o	-	113384	2020_10_14	55	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Damoklesschwert möglichen Lockdowns schwebt Raum Opposition   schauen Herr Kollege Wöginger   Wirtschaftsministerin Woche Damen Herren medial 
-	#	#+	x	x	-	-	113486	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	kontraproduktiv Kollegin Schramböck Medien he­rumfantasiert Lockdown geben 
-	#	#+	x	x	-	-	113488	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Unternehmer überlegt Investition tätigen Wirtschaftsministerin redet Lockdown denkt sogar Lockdown nachdenkt eher wahrscheinlich 
-	x	-	x	x	-	-	113490	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Denken Lockdown 
o	x	-	x	x	-	-	113491	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	planen Lockdown 
-	#	#+	x	x	-	-	113493	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	denken Lockdown Regierung Lockdown schwätzen 
-	#	#+	x	-	-	-	114198	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Wirtschaftsministerin phantasiert nächsten Lockdown Gesundheitsminister Lockdown wissen COVID-19-Maßnahmengesetz Betretungsverbo­te verhängt völliger Lockdown   Unsicherheit gestreut 
o	x	x	x	x	+	+	114299	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Zahl Lockdown mittlerweile 82   Staaten Welt realisiert 
o	x	-	x	x	-	-	114300	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Ziel   denke Ziel   geeigneten Maßnahmen setzen Österreich Lockdown braucht 
o	x	x	x	+	+	+	114303	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	wissen Modellierungsversuchen Um­setzung Lockdowns   Frühling März heurigen Jahres   Woche spä­ter bedeutet viermal Infektionen 
-	#	#+	x	+#-	+	+	114305	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	richtige Zeitpunkt Forderung Lockdown Übrigen umfassender formuliert umgesetzt       finde spannend Corona verharmlost drängt Lockdown verwirklichen 
-	x	-	x	x	-	-	114433	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Frage 22   Antwort Fragen 26 28   Maßnahmen Handeln dienen Ziel Lockdown verhindern 
-	x	x	x	x	o	-	114435	2020_10_14	55	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf Anschober	True	Novellierung COVID-19-Maßnahmengesetzes klar geregelt Lock­down äußersten Fall nämlich drohenden flächendeckenden Zusam­menbruch unseres Gesundheitssystems Zustimmung Hauptausschus­ses Parlaments 
o	x	x	x	x	o	o	115045	2020_10_14	55	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Schluss Satz sagen Blick Phasen Lockdowns   Lockdown Raum steht   wichtig 
-	#	#-	x	x	o	o	115092	2020_10_14	55	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	letzte Bemerkung geheißen rosa Einhorn   glaube   rosa Elefant Lockdown Spiel gebracht Minister rennt Wochen sozusagen Gegend jedes Mikrofon Nase gehalten meilenweit Lockdown entfernt 
-	#	#+	x	x	-	-	115095	2020_10_14	55	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Einzigen herinnen draußen Bevölkerung verunsichern liebe Kolleginnen Kollegen FPÖ Kolleginnen Kollegen NEOS ständig hinstellt Lockdown redet irgendwelche entsprechenden Gerüchte streut 
o	#	#+	x	x	-	-	115136	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Kollege Schallmeiner erklärt Opposition Lockdown reden 
o	#	#+	x	x	o	o	115137	2020_10_14	55	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	berichtige tatsächlich Diskussion Wiener SpitzenkandidatInnen 6.   Oktober Birgit Hebein Lockdown ausgeschlossen 8.   Oktober Zeitung lesen ÖVP-Ministerin Schramböck Lock­down ausschließt 
-	##	##+	x	x	o	o	115290	2020_10_14	55	Grüne	Abgeordnete Barbara Neßler (Grüne)	True	wissen tatsächliche Berichtigung tatsächlichen Berichtigung Herr Loacker richtigstellen behaupten Kollegin Hebein Lockdown vorstellen 
-	#	#+	-	x	-	-	117673	2020_10_15	57	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	vermisst Bekenntnis überaus scharfen Lockdown letztlich bewirkt Unternehmen Krise geschlittert Einnahmen weggebrochen Kosten weiter­gelaufen Menschen Job verloren 
o	x	x	x	x	o	o	117675	2020_10_15	57	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	bewusst Deutschland schauen Verantwortung Regierung Frage Lockdown umgegangen 
-	#	#+	-	x	-	-	117686	2020_10_15	57	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Whatever it takes anderes nämlich Sinne nötig aufzufangen   Hehl scharfen Maßnahmen mitgetragen   Lockdown verursacht wobei gleichzeitig Entschädi­gungs­anspruch Unternehmer abgeschafft 
-	x	-	-	x	-	-	117839	2020_10_15	57	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Damoklesschwert aktuellen Wirtschaftsprognosen möglicher Lockdown 
-	x	x	-	x	-	-	117840	2020_10_15	57	FPÖ	Abgeordneter MMag. DDr. Hubert Fuchs (FPÖ)	False	Lockdown Todesstoß heimische Wirt­schaft 
-	#	#+	-	+	o	-	117982	2020_10_15	57	ÖVP	Abgeordnete Angela Baumgartner (ÖVP)	True	Lockdown   NEOS Entscheidung Anfang mitge­stimmt   Wirtschaft 25   Prozent einbrechen lassen   schrittweisen Lockerungen spürbar Entlastung Erholung beigetragen 
-	#	#-#+	x	x	o	o	118363	2020_10_15	57	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	getan gestern Lockdown ausgeschlossen schließen Kuchl 
o	#	#-	x	x	o	o	118365	2020_10_15	57	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Gestern schließen Lockdown 
o	x	x	-	+	o	+	118475	2020_10_15	57	ÖVP	Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)	True	Maßnahme unterstützt Betriebe Lockdown Umsatzeinbruch betroffen 
-	x	x	-	x	o	-	118754	2020_10_15	57	SPÖ	Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ)	False	sehen IHS-Studien Lockdown mindestens 140   000   Kinder Schule unzulänglich erreicht 
-	x	x	-	-	o	-	119355	2020_10_15	58	Grüne	Abgeordneter Lukas Hammer (Grüne)	True	einfach Volksbegehren Laufen halten Unterschriften sammeln Pandemie öffentlichen Aufmerksamkeit genom­men Computer- IT-Pannen   Innenministerium   Juni Eintragungswoche Lockdown Men­schen Hause geblieben eher Menschen Gemeindeamt Schlange stehen 
-	x	x	-	x	o	-	119584	2020_10_15	58	SPÖ	Abgeordnete Cornelia Ecker (SPÖ)	False	Lockdown verloren fossile Energieträger Kohle Gas schlagartig Bedeutung 
o	x	x	x	x	o	o	121794	2020_11_05	60	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	lauer Abend letzte Lockdown essen Freunden unterwegs 
o	x	x	x	x	o	o	121997	2020_11_05	60	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Abend Lockdown 
-	x	x	x	x	-	-	122047	2020_11_05	60	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Lockdown Lokal zurückkehren Kellnern Bier trinken Lieblingslokal lasse wegnehmen 
-	x	x	x	x	o	o	122115	2020_11_05	60	Grüne	Bundesministerin für Justiz Dr. Alma Zadić, LL.M.	True	Anblick Bilder 2.11.2020 Gefühl Menschen Haustür Sturmgewehr erschossen   wehrlos erschossen unschuldig erschossen   unschuldige Menschen Abend gemeinsam Freunden trinken Abend Lockdown genießen erinnert zurückversetzt gefühlt Österreich erleben 
o	x	x	x	x	o	o	122907	2020_11_05	60	ÖVP	Abgeordneter Mag. Wolfgang Gerstl (ÖVP)	True	4   Stunden Lockdown 2.   November katholischen Christen Allerseelen feiern 
-	x	x	-	x	-	-	123073	2020_11_17	62	SPÖ	Abgeordnete Dr. Pamela Rendi-Wagner, MSc (SPÖ)	False	Lockdown   Lockdowns   Entwicklung dramatische Situation verschärfen 
